"","state","PUMA","count","disconnected_per_pop","disconnected_density"
"218","ca","07106",1629,142.995084269663,15.0979933219464
"219","ca","06508",6007,226.073538820519,23.9456228504765
"220","ca","06512",830,70.7949505288297,3.54340215029445
"221","ca","05917",2357,101.770293609672,67.5758210880187
"222","ca","05916",1931,96.2948187303645,59.0483800616948
"223","ca","03757",5515,292.868142955764,109.20405434248
"224","ca","03750",4451,188.378195361436,152.430250214269
"225","ca","03747",2129,153.132417463857,64.601709765178
"226","ca","11101",1567,109.626416678327,12.1637338417011
"227","ca","03705",2248,99.9155518023023,22.9394830425879
"228","ca","03706",2379,152.921514430803,30.9251356217273
"229","ca","03707",3050,164.349606638646,59.98777503143
"230","ca","02901",5666,194.514058155103,0.765453111139191
"231","ca","02903",4516,218.30134867308,17.8575465489616
"232","ca","03701",2514,145.21719038817,0.458634120385856
"233","ca","07102",4194,163.77694470478,4.864083582861
"234","ca","07103",4378,168.845694010567,8.68522026543558
"235","ca","03745",2796,137.863024505695,192.053166277205
"236","ca","03732",1669,126.019329507702,61.8659952080072
"237","ca","03739",1965,96.3093662696662,20.4285156944318
"238","ca","03753",1637,132.208043934744,51.6039274246805
"239","ca","03734",4028,176.025870733732,129.777220838914
"240","ca","01100",3738,236.82209832742,0.166970649430062
"241","ca","00702",1838,195.448745214802,0.610616767056066
"242","ca","10702",5285,221.203750209275,5.0526635125682
"243","ca","05700",1810,248.728871787825,0.361316852527964
"244","ca","06103",1134,102.801196627686,0.339794824403788
"245","ca","01700",2436,142.840389351472,0.526924393990923
"246","ca","00300",3148,204.322710456286,0.0624142147488234
"247","ca","07101",2362,120.534803021025,0.0507635659241019
"248","ca","06501",4709,251.253868317149,0.415835719443306
"249","ca","02500",5899,269.151799972624,0.508071045592359
"250","ca","07302",2348,188.837059675084,0.335525657501591
"251","ca","07319",4067,235.181865494709,6.76157511300979
"252","ca","07322",2744,154.984467664502,22.2786901186103
"253","ca","07310",1000,43.5805804933322,1.23906686939142
"254","ca","05914",1903,100.60798308221,4.33276790021105
"255","ca","03768",1417,146.323833126807,0.844135607488063
